"Mixture"	"B cells naive"	"B cells memory"	"Plasma cells"	"T cells CD8"	"T cells CD4 naive"	"T cells CD4 memory resting"	"T cells CD4 memory activated"	"T cells follicular helper"	"T cells regulatory (Tregs)"	"T cells gamma delta"	"NK cells resting"	"NK cells activated"	"Monocytes"	"Macrophages M0"	"Macrophages M1"	"Macrophages M2"	"Dendritic cells resting"	"Dendritic cells activated"	"Mast cells resting"	"Mast cells activated"	"Eosinophils"	"Neutrophils"
"GSM1426081"	"0.0619401623189864"	"0"	"0.20981358281102"	"0.297888602048474"	"0"	"0"	"0"	"0"	"0.166801597754631"	"0.000537116047465204"	"0"	"0.0924602300352614"	"0"	"0.0305408020068835"	"0.0168419312199032"	"0.0748506920364855"	"0"	"0"	"0.0432652700531411"	"0"	"0"	"0.00559712971521333"
"GSM1426082"	"0"	"0.0249636904431057"	"0.163523826267215"	"0.305975744933568"	"0"	"0"	"0"	"0"	"0.118690740256478"	"1.26045309065822e-05"	"0.0316449806605395"	"0.102841264983808"	"0.120487579859689"	"0.0697612257161242"	"0"	"0"	"0"	"0.0203544218390433"	"0.0417565250404296"	"0"	"0"	"0"
"GSM1426083"	"0"	"0.0382056430282578"	"0.15704897150464"	"0.28454794596329"	"0"	"0.0111962158430354"	"0"	"0"	"0.168954485054465"	"0.000176254372177401"	"0"	"0.118876162529413"	"0.0691678721154096"	"0.0475857421857507"	"0"	"0.0510245872303604"	"0"	"0"	"0.0533923745453783"	"0"	"0"	"0"
"GSM1426084"	"0.0428784927483142"	"0"	"0.123475556629873"	"0.277438117741544"	"0"	"0"	"0"	"0"	"0.140594331689029"	"0.00158368026637119"	"0"	"0.172250195713996"	"0.00739686893695958"	"0.0883035898440887"	"0"	"0"	"0"	"0"	"0.147662846696196"	"0"	"0"	"0"
"GSM1426085"	"0"	"0.0679281421552152"	"0.139846080167956"	"0.24063354542167"	"0"	"0.0419117133630518"	"0"	"0"	"0.0720458649403185"	"0.000467791789447757"	"0.0157373201071705"	"0.033434085152303"	"0.0665357489489395"	"0.00655250759652463"	"0.00587427308889287"	"0.21735202019345"	"0"	"0.0156291701419003"	"0.0765195287226079"	"0"	"0"	"0"
"GSM1426086"	"0"	"0.0533775043590804"	"0.138691576041975"	"0.39354576422868"	"0"	"0"	"0"	"0"	"0.0759352789225251"	"0.00119461174518081"	"0.0222796257154571"	"0.039212856500111"	"0.056385902478869"	"0.0162313201682853"	"0"	"0.136457301282839"	"0"	"0.0138038840705221"	"0.0540789862316552"	"0"	"0"	"0"
"GSM1426087"	"0.0533551804522073"	"0.119043133233119"	"0.103959833908439"	"0.191980867502892"	"0"	"0.0432923011277375"	"0"	"0"	"0.0872345544055405"	"0.000774581932133212"	"0.0274713667558888"	"0"	"0.0132336864750817"	"0"	"0"	"0.202487025372725"	"0"	"0.0314790923551618"	"0.118272268356104"	"0"	"0.00819069005510299"	"0"
"GSM1426088"	"0.00869034830130457"	"0.200969827428725"	"0.132857107566304"	"0.241611251869739"	"0"	"0"	"0"	"0"	"0.120811036080199"	"8.71044537352376e-05"	"0.0113671839900411"	"0.0101354615993381"	"0.0365876177573966"	"0.0406735616224531"	"0"	"0.094197207292337"	"0"	"0.0160584121618867"	"0.0860409843302759"	"0"	"0"	"0"
"GSM1426089"	"0"	"0.074129130801818"	"0.156919414113516"	"0.218781135398411"	"0"	"0.0705812702942589"	"0"	"0"	"0.105065129527148"	"0.000469110765083208"	"0"	"0.0515986952104055"	"0.0191431451225403"	"0.00106905681767799"	"0"	"0.172443534176549"	"0"	"0"	"0.130269488537675"	"0"	"0"	"0"
"GSM1426090"	"0.0263416617200653"	"0.103269265819807"	"0.156933370061983"	"0.169669896792902"	"0"	"0.066560402012773"	"0.0350202769127528"	"0.0120336250762255"	"0.0252317779707235"	"0.00121997896780791"	"0.082564396157714"	"0"	"0.0181371585589723"	"0.0879835182355416"	"0.151141237861695"	"0.0441660885401243"	"0"	"0.00517156184455263"	"0.0157757624341683"	"0"	"0"	"0"
