Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM1426102	0.0825350544145101	0.126626382721646	0.10713846319388	0.149045161237109	0	0.0479156602306886	0	0.0534186008823102	0.0201983919485738	0	0.139758085627588	0	0.00161157949402802	0.0813170761233753	0.0120098044589635	0.0229001245363988	0	0.0861708976589612	0	0.0693547174719679	0	0	9999	0.232096035787416	1.00127430614171
GSM1426103	0.165830543473949	0.130974541990576	0.0305009117275765	0.103920460421576	0	0.0400566835522027	0	0.0829669846805476	0	0	0.105261573850937	0	0	0.151124760350978	0.00697744501604699	0.00190686452541803	0	0.0366282825342692	0	0.112156915120907	0	0.0316940327550165	9999	0.390538945058547	0.923422761525668
GSM1426104	0.110589963682974	0.0321193280345815	0.0752344133385999	0.0517420442396445	0	0.147832315199928	0.0068556011912782	0.00873008378139213	0	0	0.100836711752164	0	0.0223456783208374	0.0832250554466387	0.0585020454008112	0	0	0.0474290505771122	0	0.113533502542981	0	0.141024206491058	9999	0.369728333399627	0.931407938001791
GSM1426105	0.19275133499805	0.0675055489950911	0.0153151863363594	0.00373734575263174	0	0.159433581814592	0.009415555349422	0.0450102324901489	0	0	0.0668647013978177	0	0.00276366942828705	0.0839078068023043	0.108772169260944	0.00683755391204465	0	0.0211590002142972	0	0.0503897352551878	0	0.166136577992822	9999	0.511267837388202	0.85994396794196
GSM1426106	0	0.0843171152550343	0.20490033205017	0.169456460517168	0	0.124035967935078	0	0.0606418661720893	0	0	0.0634488181619125	0	0.0235768055517682	0.160724301870493	0.0373274761944707	0.0141410880084084	0	0.0324107750093214	0.0119428260534904	0	0	0.0130761672205963	9999	0.255753853631673	0.991237466058606
GSM1426107	0.180403648170069	0.0934495880063092	0.0804980894947915	0.0630024765825729	0	0.102886461105076	0.00807603514105477	0.0338625640487553	0.0114376681447245	0	0.0637930164349214	0	0.0126841296106586	0.185169704260464	0.0607289710030708	0	0	0.022781828217378	0	0.0556851471879111	0	0.025540672592244	9999	0.500261022267109	0.865610395159974
GSM1426108	0	0.0680911461628236	0.118301463947861	0.074828050362011	0	0.201099558868499	0	0.0144433746236916	0	0	0.0701631197989826	0	0.0214879141614257	0.0714340261866429	0.0288940943408544	0	0	0.078510443954874	0	0.156629180464148	0	0.0961176271281853	9999	0.193216595447415	1.01060143479091
GSM1426109	0.054283731508834	0.115035364796098	0.145400143856775	0.109935117716056	0	0.134261238550935	0.0262537380536591	0.0125677447897472	0.00544895820102992	0	0.11586233967211	0	0.0199505852232911	0.112206950401114	0.0659084452052688	0.0110380346299007	0	0.0291967379665312	0.00758525041207394	0.0347570723987423	0	0.000308546617833976	9999	0.344414148070123	0.946049305315397
GSM1426110	0	0.0398474270882452	0.151738786212256	0.111878884695698	0	0.168982044444059	0.0127738404356819	0	0	0	0.0767277482598316	0	0.0157872515088497	0.133305125453994	0.0882311054338385	0.053385371176634	0	0.0100515976313061	0.0752652665025277	0	0	0.0620255511570787	9999	0.139334289982708	1.03021342277685
GSM1426111	0.0794320752282376	0.116134070721317	0.152173979288544	0.119783738360339	0	0.101058983831974	0.00567507053630167	0.0495073416664952	0.0188376091483358	0	0.0665200606813324	0	0.018033346420904	0.110073449870505	0.0154509211316722	0.0163919141409301	0	0.0582119709671879	0.0578193313881069	0.012461173652197	0	0.00243496296562078	9999	0.308775432063334	0.962214214702262
GSM1426112	0.0179680297371825	0.0636889461341522	0.123528699293573	0.306932307760626	0	0.052404791977609	0	0.0117418333238574	0.049635597836512	0	0.0175235107802232	0	0.0148105297127898	0.106797515732777	0.0245089402605666	0.0258546960017166	0	0.0287408585525046	0.13932481199707	0	0	0.0165389308988395	9999	0.316198109855299	0.955764343916105
GSM1426113	0.034124216599492	0.1216104532929	0.0821660754241412	0.177556666543796	0	0.116063787112206	0.00292226719611634	0	0.0259652344248741	0	0.125748931654925	0	0	0.112856953044352	0.0390057072498981	0.0340324875156792	0	0.0493174083905212	0	0.0678091475134782	0	0.0108206640376206	9999	0.354738857223498	0.939709933656901
GSM1426114	0.108992151289485	0.0726809300047034	0.048670893030795	0.0454661454142815	0	0.201864099485863	0.0299074512266937	0	0	0	0.0730280601434998	0	0.0184632132432398	0.168993539496112	0.0672508907265054	0.00898570923475039	0	0.0410678267437736	0.0543782275290951	0.000130614676884567	0	0.0601202477543187	9999	0.45418123888871	0.890684232132094
GSM1426115	0.00942242598829247	0.0753789745218481	0.0873512684161241	0.114218424984913	0	0.183521492393872	0.029787821521575	0	0	0	0.124592862518397	0	0.0195409951269528	0.106645644856751	0.133171916665541	0.0384583831886144	0	0.0148308367539653	0	0.00981446136037616	0	0.0532644917027785	9999	0.355140271790386	0.94006099859442
GSM1426116	0.108889336185769	0	0.0334604733686113	0.100162885809188	0	0.172906270915747	0.0283637212838983	0.00306133220469645	0	0	0.0790550225860938	0	0.0422664455054984	0.138776879572212	0.0849183402718068	0.0433917199285874	0	0.0297929169781764	0.0594978480194138	0	0	0.0754568073703022	9999	0.395224433463933	0.917914677391074
GSM1426117	0.0740791613910877	0.0742548350670812	0.134778268663624	0.175055515550786	0	0.178465827429196	0	0	0.0548011793608813	0	0.0257482186733336	0	0	0.0828074135552009	0.0321744752733798	0.0213733053573952	0	0.0638608541750836	0	0.0393148612818982	0.0432860842210526	0	9999	0.284572802669902	0.973522822005314
GSM1426118	0.245403372028192	0.224934971715146	0.0190606588872763	0.0752083160079316	0	0.0318381910285336	0.0171117245836331	0.0359785190384227	0.0167239332594187	0	0.0546422277593072	0	0	0.124355152605864	0.0288562955726346	0.0457967943980916	0	0.0265083511349557	0.0535814919805928	0	0	0	9999	0.61391291846326	0.79279118494165
GSM1426119	0.078523543305879	0.0572641432605424	0.103633296336304	0.144344950799605	0	0.0923000873603414	0	0.016437540480996	0.0574215435522329	0	0.0720030513744841	0	0.0118413815163254	0.092909775744735	0.0394773189034877	0.0706218842498974	0	0.0293404588199551	0.118725224448674	0.0151557998465408	0	0	9999	0.39360072610298	0.918741242869679
GSM1426120	0.221909590828709	0.0384503578966192	0.0558658938498367	0.148549913755333	0	0.0637333612848582	0.0198864934672596	0.0151622135995712	0.0287617093698428	0	0.105980200855152	0	0.00143332105227733	0.0736713923012311	0.0324188828946733	0.0678218595309611	0	0.0497721617404233	0.0299804900468608	0.0466021575263916	0	0	9999	0.352055309189255	0.941154339827752
