Mixture	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages	P-value	Correlation	RMSE
GSM1426126	0.297840443493428	0.0971783139632147	0	0.51694791166659	0.0139053718355263	0.0063751475374739	0.0677528115037673	9999	0.490880330984552	0.883218983311018
GSM1426127	0.468237460126263	0.00171757094675423	0	0	0.391983961791817	0.0266351363139268	0.11142587082124	9999	0.402259068025722	0.94158466453104
GSM1426128	0.384284144435554	0	0	0.106358806848878	0.266954562525793	0	0.242402486189776	9999	0.51025430870484	0.860766388274238
GSM1426129	0.460002385980122	0.106526841641063	0	0.0989420442376901	0.0880855532176104	0.0357649189713511	0.210678255952163	9999	0.40031305838674	0.919572169199503
GSM1426130	0.746912919609168	0.104110156410158	0	0.0220117165289541	0.0162512548986841	0.0112516105649857	0.0994623419880494	9999	0.242386082713953	1.01834708133179
GSM1426131	0.0729544881821432	0.0189629024029969	0	0	0.603066011848626	0.0587380217013193	0.246278575864915	9999	0.611580030828342	0.79612878677419
GSM1426132	0.363056129310433	0	0	0.148301867271479	0.254816900257511	0.0472632102912008	0.186561892869377	9999	0.617717400532932	0.794530183290044
GSM1426133	0.61557334005253	0	0.0168269096844439	0.0588224499058601	0.0938313917716835	0.0387257304081984	0.176220178177284	9999	0.440639433705201	0.903101876225097
GSM1426134	0.257501468488111	0	0	0.310068123981709	0.220150106180401	0.0116388314473505	0.200641469902429	9999	0.419678070206916	0.909131518996587
GSM1426135	0.475028201498804	0	0	0.0550519194703545	0.244112704694259	0.01127200482735	0.214535169509233	9999	0.422018747977533	0.915508193291866
GSM1426136	0.610877510339479	0.0853235081766318	0	0	0.0526587176719681	0.0629359650396308	0.18820429877229	9999	0.254466752872901	0.999835186692098
GSM1426137	0.655961413519688	0	0	0.134618862720414	0.103729072895835	0	0.105690650864063	9999	0.229707579047926	1.02090467330317
GSM1426138	0.494671193236619	0	0	0.188736842943114	0.148598161399861	0.0010175083195256	0.166976294100881	9999	0.519189842528999	0.859162973802971
GSM1426139	0.413706659790334	0	0	0.306727546217561	0.200134199554433	0	0.079431594437672	9999	0.549911283636782	0.845267587310966
GSM1426140	0.342582959904677	0	0	0.0897101364934335	0.467779112640504	0.0122299933494032	0.0876977976119828	9999	0.622269414014252	0.784179189546547
GSM1426141	0.609142613766931	0	0	0.119406776571596	0.0415339453687033	0.0374311199835279	0.192485544309241	9999	0.342688653651748	0.953895272050279
GSM1426142	0.296766112474858	0	0	0.452343245007079	0.14331548985058	0.0153021978387754	0.0922729548287077	9999	0.566003150963598	0.84046723320237
GSM1426143	0.69414964199757	0.139817205453642	0	0	0.094442205695001	0.0454724832688421	0.0261184635849449	9999	0.156486860112071	1.06225118214885
GSM1426144	0.506855990674796	0	0	0	0.328136821564491	0.0335937152422407	0.131413472518471	9999	0.375393002757653	0.953246312206021
GSM1426145	0.504089233476148	0	0	0.0134802715356262	0.168204765602815	0.0390524211828913	0.27517330820252	9999	0.528146170935092	0.849214102684058
GSM1426146	0.560579025142095	0	0	0.0751989456001627	0.229854732163695	0	0.134367297094047	9999	0.569858356782384	0.826551527529128
GSM1426147	0.649454516449415	0	0	0.159164478159021	0.10395081459286	0.00310856538972839	0.0843216254089755	9999	0.515510231737696	0.865152289759519
GSM1426148	0.569037943293641	0.168539541261794	0	0	0.0347092705811483	0.126352326526427	0.10136091833699	9999	0.120755365156969	1.05732261694307
GSM1426149	0.724308140272959	0	0	0.0571210361082923	0.125166265006019	0	0.0934045586127304	9999	0.351388118764616	0.967577374545993
GSM1426150	0.172758704103159	0	0	0.0222416892365037	0.593941586410546	0.0538163827644631	0.157241637485328	9999	0.599547189748497	0.804199908344313
GSM1426151	0.500124543393507	0.00674891001567463	0	0	0.3228157010538	0.0631652933715972	0.107145552165422	9999	0.390709866841442	0.942881474942581
GSM1426152	0.315089876541989	0	0	0	0.402843162667028	0.0645068859028613	0.217560074888121	9999	0.605125966914548	0.79538535943637
GSM1426153	0.474842624080494	0	0	0.0513579560228859	0.0525657545121541	0.0522422155046537	0.368991449879812	9999	0.474142689053448	0.883557589033584
GSM1426154	0.28131595414454	0	0	0.0866418076315828	0.40011428491271	0.0486171346489293	0.183310818662238	9999	0.513228707759199	0.859527330411999
GSM1426155	0.582230967994155	0	0	0.108629588528632	0.13273290464083	0.0171617761476066	0.159244762688776	9999	0.166343179691034	1.04644477689362
GSM1426156	0.265754926016875	0	0	0.494099524041385	0.0990490765749632	0.0152012124993947	0.125895260867382	9999	0.209843789247553	1.0024668844373
GSM1426157	0.615937957587121	0.0638313507452734	0	0	0.185275548229006	0	0.1349551434386	9999	0.182068013123884	1.05305529858014
GSM1426158	0.168085602494795	0.0818296150121223	0	0.486819828666325	0.0288254987296007	0.0178734312720221	0.216566023825135	9999	0.473301752459579	0.882341017343172
GSM1426159	0.597271210893422	0	0	0.0583316920037096	0.23798586315039	0.018422973428529	0.0879882605239497	9999	0.616494866914621	0.794214177316144
GSM1426160	0.262219918605448	0	0	0.27455074642668	0.22686063777191	0.0317910061441144	0.204577691051848	9999	0.509366722951648	0.861250973794879
GSM1426161	0.67837704270188	0	0	0.0833801490649635	0.0215665930736092	0.0482856623032735	0.168390552856274	9999	0.329874786932021	0.96435567738785
GSM1426162	0.436244313714416	0	0	0.218443901597104	0.143215728649738	0.00553900156009644	0.196557054478645	9999	0.554541107171296	0.838854428341536
GSM1426163	0.641431315513323	0	0	0.128294721824382	0.080999316555214	0.0309282050509175	0.118346441056163	9999	0.44098035294638	0.904355196629365
